created_at,text,clean_text
2025-04-26 16:18:47+00:00,"Sorry folks climate change is a reality! Weather is being changed for the worst by man for years..🤷‍♂️
All you crazy liberals are correct!
Issue is ..... IT'S YOUR FUCKING ASSHOLE BILLIONAIRES CAUSING IT! BILL GATES WITH HIS BLOTTONG OUT THE SUN WITH CHEM TRAILS ! IDIOT FUCKS! https://t.co/3Ec70EVB02",Sorry folks climate change is a reality! Weather is being changed for the worst by man for years.. All you crazy liberals are correct! Issue is ..... IT'S YOUR FUCKING ASSHOLE BILLIONAIRES CAUSING IT! BILL GATES WITH HIS BLOTTONG OUT THE SUN WITH CHEM TRAILS ! IDIOT FUCKS!
2025-04-26 16:18:28+00:00,"@Lees1985P @_venediktov @PeterSweden7 Because the climate must never change, right?","Because the climate must never change, right?"
2025-04-26 16:18:26+00:00,"Our communities are on the front lines of the climate crisis.

Proud to have fought for wildfire mitigation, protection, evacuation supports, and restoring telecoms.

The Liberals have failed to act on climate change 

Only the NDP stands up for us and for climate action. https://t.co/Cpp7d4XKqr","Our communities are on the front lines of the climate crisis. Proud to have fought for wildfire mitigation, protection, evacuation supports, and restoring telecoms. The Liberals have failed to act on climate change Only the NDP stands up for us and for climate action."
2025-04-26 16:18:17+00:00,"@Matthardy_BR What's Unbelievable. Is how the UK Sheeple,  BELIEVED  the Shit in the First Place Global Warming, then Climate Change B.S from 70s (NET ZERO 260 BILLION SCAM,  for Solar etc, (BUT. They PAYING 50 MILLION,to "" Geo Engineer/Chem Trails) &amp; BLOCK THE SJN.  FOR the Solar ""Clown Show""","What's Unbelievable. Is how the UK Sheeple, BELIEVED the Shit in the First Place Global Warming, then Climate Change B.S from 70s (NET ZERO 260 BILLION SCAM, for Solar etc, (BUT. They PAYING 50 MILLION,to "" Geo Engineer/Chem Trails) &amp; BLOCK THE SJN. FOR the Solar ""Clown Show"""
2025-04-26 16:18:16+00:00,"Hmmm, climate change. Must be that, mustn’t it?! https://t.co/JUOhbu8FAu","Hmmm, climate change. Must be that, mustnt it?!"
2025-04-26 16:18:13+00:00,@junonewscom climate change is a hoax to control your life.,climate change is a hoax to control your life.
2025-04-26 16:18:07+00:00,The Climate Change narrative is the Trojan Horse for socialist policies that take freedom from the people and give more power to the globalists. https://t.co/33WCT2QMKl https://t.co/qwCZXYAjsq,The Climate Change narrative is the Trojan Horse for socialist policies that take freedom from the people and give more power to the globalists.
2025-04-26 16:17:42+00:00,@CTVNews Man-made climate change is a business scam.,Man-made climate change is a business scam.
2025-04-26 16:17:34+00:00,@1_2_question @acoyne Yes. They feel they should be. They also want to screech about climate change while taking private jets everywhere and they want to harp on billionaires and how evil they are unless they are giving THEM money.,Yes. They feel they should be. They also want to screech about climate change while taking private jets everywhere and they want to harp on billionaires and how evil they are unless they are giving THEM money.
2025-04-26 16:17:31+00:00,"@trumprealparody Both important, close the border and stop the nonsense with the climate change","Both important, close the border and stop the nonsense with the climate change"
2025-04-26 16:17:29+00:00,"@gunsnrosesgirl3 1. Trump is a psychopath intent on putting his name in the annals of history regardless of how. 
2. Nationalisation of the UK utilities is the way forward
3. Climate change is going to result in a humanless (or virtually humanless) earth regardless of the above",1. Trump is a psychopath intent on putting his name in the annals of history regardless of how. 2. Nationalisation of the UK utilities is the way forward 3. Climate change is going to result in a humanless (or virtually humanless) earth regardless of the above
2025-04-26 16:17:00+00:00,@JDunlap1974 Climate change has not been good to him lol,Climate change has not been good to him lol
2025-04-26 16:16:55+00:00,@JDunlap1974 His climate change checks must be bouncing.,His climate change checks must be bouncing.
2025-04-26 16:16:44+00:00,"@DSStysInMyUrtha @CeraGibson @J0Lamb0 Yes, it's true that some trees, especially in old-growth forests, struggle to grow back to their former size after logging. Environmental issues like poor soil, climate change, and intensive logging often prevent full recovery. Sustainable practices like reduced-impact logging","Yes, it's true that some trees, especially in old-growth forests, struggle to grow back to their former size after logging. Environmental issues like poor soil, climate change, and intensive logging often prevent full recovery. Sustainable practices like reduced-impact logging"
2025-04-26 16:16:33+00:00,"The #youth from @UR_CAVM  are committed to be the change in driving sustainable solutions for climate change adaptation and mitigation.
#Youth4Climate

@UNDP_Rwanda @unicefrw @AGRA_Africa https://t.co/RPenkhaEIR",The youth from are committed to be the change in driving sustainable solutions for climate change adaptation and mitigation. Youth4Climate
2025-04-26 16:16:30+00:00,"@trumprealparody Promises made, promises kept.  Thank you my wonderful President.  Climate change?  Keep illegals from killing our citizens?  No brainer.  MAGAmom","Promises made, promises kept. Thank you my wonderful President. Climate change? Keep illegals from killing our citizens? No brainer. MAGAmom"
2025-04-26 16:16:12+00:00,@GuntherEagleman He made fortunes on the climate change hoax.,He made fortunes on the climate change hoax.
2025-04-26 16:16:09+00:00,@liz_churchill10 Didn’t he start the climate change scam?,Didnt he start the climate change scam?
2025-04-26 16:16:00+00:00,"@trumprealparody @BarronTrumpoo Yes, absolutely. Climate change is BS.","Yes, absolutely. Climate change is BS."
2025-04-26 16:15:59+00:00,A psycho in the USA is demanding that we need to start eating babies to lower the world population and CO2 emissions to curb climate change. https://t.co/MeAIwVgQ9Y,A psycho in the USA is demanding that we need to start eating babies to lower the world population and CO2 emissions to curb climate change.
2025-04-26 16:15:48+00:00,"@astrovisitor @0xCheshire The claim of a 20% increase in global plant life over 30 years isn't fully supported. NASA data shows a 6% rise in plant productivity from 1982 to 1999 and a 12% increase in photosynthesis from 1982 to 2020, suggesting a trend of about 10-15% over 30 years.

Climate change isn't","The claim of a 20% increase in global plant life over 30 years isn't fully supported. NASA data shows a 6% rise in plant productivity from 1982 to 1999 and a 12% increase in photosynthesis from 1982 to 2020, suggesting a trend of about 10-15% over 30 years. Climate change isn't"
2025-04-26 16:15:37+00:00,"@Combat_learjet For ""Climate change""...","For ""Climate change""..."
2025-04-26 16:15:31+00:00,@Aquarian_Derek @david_e_okidd @newstart_2025 They scream about climate change as they cut down more trees … it’s pure evil. https://t.co/j3Zco4EWWC,They scream about climate change as they cut down more trees its pure evil.
2025-04-26 16:15:19+00:00,"@storyofayush @JaipurDialogues The claim that India flooded Pakistan in April 2025 is false. No credible reports confirm flooding in Pakistan during this time. The video likely shows a past event, such as the 2022 floods, which were caused by heavy monsoon rains and climate change, not India.

India could","The claim that India flooded Pakistan in April 2025 is false. No credible reports confirm flooding in Pakistan during this time. The video likely shows a past event, such as the 2022 floods, which were caused by heavy monsoon rains and climate change, not India. India could"
2025-04-26 16:14:37+00:00,"""Brookfield Asset Management...has billions of dollars invested in fossil fuel energy projects, which makes its claim of having achieved “net zero emissions” utter nonsense.
In Canada’s case, all this economic suffering would have no effect on climate change."" https://t.co/r2rbtxRFiL","""Brookfield Asset Management...has billions of dollars invested in fossil fuel energy projects, which makes its claim of having achieved net zero emissions utter nonsense. In Canadas case, all this economic suffering would have no effect on climate change."""
2025-04-26 16:14:26+00:00,@JDunlap1974 From the ‘inventor’ of the internet who has PROFITED from the climate change hoax……#grifter.,From the inventor of the internet who has PROFITED from the climate change hoaxgrifter.
2025-04-26 16:14:16+00:00,"The Climate Change Puzzle Results Are Here!

Here are the answers to our true or false puzzle. 

Tell us in the comment section how many you got right.

#climatechange #factcheck #commonmyths https://t.co/LXqT9da6Mb",The Climate Change Puzzle Results Are Here! Here are the answers to our true or false puzzle. Tell us in the comment section how many you got right. climatechange factcheck commonmyths
2025-04-26 16:14:10+00:00,"@whultquist @EricAbbenante And our children were FORCED, to read his POS book, and scared the shit out of my daughter! I had to sit her down in front of our computer and showed her the “Climate Change Hoax!” She read everything she could find on the climate hoax, AND WAS ABSOLUTELY PISSED AFTER READING IT!","And our children were FORCED, to read his POS book, and scared the shit out of my daughter! I had to sit her down in front of our computer and showed her the Climate Change Hoax! She read everything she could find on the climate hoax, AND WAS ABSOLUTELY PISSED AFTER READING IT!"
2025-04-26 16:13:58+00:00,@Pecker2002 @Combat_learjet Now Tell us how the new light bulbs stopped climate change.,Now Tell us how the new light bulbs stopped climate change.
2025-04-26 16:13:56+00:00,"The Indus River is Pakistan’s lifeline  protected by the Indus Waters Treaty since 1960.
Today, climate change threatens what treaties built.
Protect the Indus, protect our future. #SaveTheIndus #ClimateAction #EarthWarriorz https://t.co/Wbw7WIqZRX","The Indus River is Pakistans lifeline protected by the Indus Waters Treaty since 1960. Today, climate change threatens what treaties built. Protect the Indus, protect our future. SaveTheIndus ClimateAction EarthWarriorz"
2025-04-26 16:13:00+00:00,"We must address the climate crisis – countless species are at serious risk of extinction!
https://t.co/xyuD0R7v90",We must address the climate crisis countless species are at serious risk of extinction!
2025-04-26 16:12:50+00:00,@trumprealparody Yes. It has always been more important for our Country’s very existence. Climate change while important it’s not what the doomsayers are claiming. They are just getting rich.,Yes. It has always been more important for our Countrys very existence. Climate change while important its not what the doomsayers are claiming. They are just getting rich.
